rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
4.0,3.0,1.0,135.0,100.0,245000.0,Casa
1.0,1.0,1.0,25.0,25.0,72000.0,Casa
3.0,2.0,1.0,106.0,87.0,177000.0,Casa
3.0,2.0,1.0,74.0,60.0,150000.0,Casa
4.0,2.0,1.0,138.0,96.0,180000.0,Casa
3.0,2.0,1.0,74.0,72.0,130000.0,Casa
3.0,2.0,1.0,148.0,112.0,180000.0,Casa
4.0,3.0,3.0,146.0,93.0,380000.0,Casa
3.0,2.0,1.0,74.0,72.0,130000.0,Casa
3.0,2.0,1.0,130.0,80.0,250000.0,Casa
4.0,3.0,2.0,153.0,91.0,195000.0,Casa
3.0,2.0,1.0,48.0,41.0,108000.0,Casa
3.0,2.0,1.0,120.0,75.0,99000.0,Casa
3.0,2.0,2.0,107.0,107.0,200000.0,Casa
2.0,1.0,,57.0,57.0,76000.0,Casa
4.0,3.0,1.0,130.0,110.0,284500.0,Casa
4.0,3.0,2.0,110.0,100.0,220000.0,Casa
3.0,2.0,1.0,106.0,87.0,175000.0,Casa
2.0,1.0,1.0,102.0,84.0,210000.0,Casa
3.0,2.0,1.0,116.0,83.0,318000.0,Casa
3.0,2.0,2.0,130.0,130.0,290000.0,Casa
3.0,2.0,2.0,60.0,56.0,200000.0,Casa
3.0,2.0,1.0,132.0,108.0,159900.0,Casa
2.0,1.0,1.0,37.0,36.0,53000.0,Casa
3.0,2.0,1.0,130.0,90.0,115000.0,Casa
4.0,2.0,1.0,125.0,112.0,259800.0,Casa
3.0,2.0,1.0,85.0,82.0,195000.0,Casa
3.0,2.0,1.0,110.0,80.0,215000.0,Casa
4.0,3.0,3.0,138.0,110.0,348000.0,Casa
3.0,2.0,1.0,90.0,51.0,99000.0,Casa
4.0,3.0,2.0,142.0,101.0,240000.0,Casa
3.0,2.0,2.0,85.0,70.0,210000.0,Casa
3.0,2.0,2.0,85.0,70.0,210000.0,Casa
2.0,1.0,1.0,151.0,75.0,195000.0,Casa
3.0,2.0,1.0,125.0,113.0,378000.0,Casa
3.0,2.0,1.0,78.0,61.0,318500.0,Casa
4.0,3.0,1.0,144.0,90.0,260000.0,Casa
3.0,2.0,1.0,140.0,124.0,185000.0,Casa
4.0,3.0,2.0,148.0,125.0,340000.0,Casa
3.0,2.0,1.0,149.0,129.0,198000.0,Casa
4.0,3.0,2.0,122.0,122.0,250000.0,Casa
3.0,2.0,1.0,135.0,106.0,260000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,2.0,129.0,113.0,199500.0,Casa
4.0,3.0,2.0,123.0,118.0,235000.0,Casa
3.0,2.0,2.0,115.0,115.0,70000.0,Casa
4.0,3.0,2.0,137.0,110.0,369000.0,Casa
4.0,3.0,1.0,139.0,110.0,148000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
3.0,2.0,2.0,106.0,85.0,185000.0,Casa
3.0,2.0,1.0,99.0,90.0,230000.0,Casa
4.0,3.0,2.0,134.0,80.0,185000.0,Casa
4.0,3.0,2.0,152.0,135.0,199500.0,Casa
4.0,3.0,1.0,138.0,80.0,279000.0,Casa
4.0,3.0,1.0,138.0,80.0,279000.0,Casa
4.0,3.0,2.0,99.0,83.0,320000.0,Casa
2.0,1.0,,109.0,59.0,192000.0,Casa
2.0,1.0,2.0,66.0,61.0,138000.0,Casa
4.0,3.0,1.0,100.0,100.0,330000.0,Casa
2.0,1.0,1.0,81.0,61.0,125000.0,Casa
3.0,2.0,3.0,120.0,80.0,297000.0,Casa
4.0,3.0,2.0,90.0,83.0,179000.0,Casa
4.0,3.0,2.0,90.0,83.0,179000.0,Casa
3.0,2.0,2.0,67.0,52.0,188500.0,Casa
3.0,2.0,2.0,67.0,52.0,188500.0,Casa
3.0,2.0,2.0,67.0,52.0,188500.0,Casa
4.0,3.0,2.0,153.0,91.0,220000.0,Casa
3.0,2.0,1.0,135.0,120.0,265000.0,Casa
4.0,3.0,2.0,140.0,128.0,349000.0,Casa
4.0,3.0,1.0,154.0,103.0,367000.0,Casa
3.0,2.0,2.0,122.0,44.0,150000.0,Casa
4.0,3.0,2.0,100.0,87.0,230000.0,Casa
4.0,3.0,1.0,135.0,135.0,329900.0,Casa
4.0,3.0,1.0,117.0,113.0,130000.0,Casa
3.0,2.0,1.0,136.0,136.0,145000.0,Casa
4.0,3.0,2.0,137.0,110.0,369000.0,Casa
3.0,3.0,1.0,135.0,91.0,150000.0,Casa
3.0,2.0,,101.0,64.0,198000.0,Casa
3.0,2.0,,135.0,85.0,264000.0,Casa
4.0,3.0,2.0,142.0,101.0,240000.0,Casa
4.0,3.0,1.0,138.0,80.0,279000.0,Casa
3.0,2.0,2.0,73.0,65.0,155000.0,Casa
4.0,3.0,2.0,153.0,91.0,220000.0,Casa
3.0,2.0,2.0,130.0,80.0,400000.0,Casa
4.0,3.0,2.0,137.0,110.0,369000.0,Casa
4.0,2.0,2.0,89.0,82.0,285000.0,Casa
3.0,2.0,1.0,108.0,90.0,235000.0,Casa
3.0,2.0,1.0,130.0,80.0,250000.0,Casa
3.0,2.0,1.0,80.0,55.0,250000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
4.0,2.0,1.0,130.0,83.0,140000.0,Casa
4.0,3.0,1.0,120.0,92.0,349900.0,Casa
4.0,3.0,2.0,126.0,87.0,242000.0,Casa
3.0,2.0,1.0,100.0,55.0,100000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,2.0,2.0,138.0,125.0,185000.0,Casa
4.0,3.0,2.0,95.0,93.0,265000.0,Casa
3.0,2.0,1.0,115.0,82.0,90000.0,Casa
3.0,2.0,1.0,80.0,70.0,250000.0,Casa
4.0,3.0,2.0,120.0,110.0,240000.0,Casa
4.0,3.0,1.0,120.0,92.0,359000.0,Casa
3.0,2.0,2.0,130.0,80.0,400000.0,Casa
2.0,1.0,2.0,58.0,48.0,155000.0,Casa
2.0,1.0,2.0,58.0,48.0,155000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
4.0,3.0,2.0,91.0,78.0,249000.0,Casa
4.0,3.0,2.0,106.0,76.0,268000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,1.0,130.0,110.0,279000.0,Casa
4.0,3.0,2.0,120.0,100.0,95000.0,Casa
3.0,2.0,2.0,82.0,74.0,179000.0,Casa
